VentaId,Fecha,Folio,ClienteId,NombreCliente,Telefono,Domicilio,ProductoId,SKU,DescripcionProducto,Cantidad,ValorUnitario,Importe,TotalVenta
1,2025-05-11,1001,50,Cliente 50,5511949481,"Calle 74 #366, Ciudad Guadalajara",17,PROD-017,USB 64GB,3,377.22,1131.66,1131.66
1,2025-05-11,1001,50,Cliente 50,5511949481,"Calle 74 #366, Ciudad Guadalajara",16,PROD-016,Mouse inalámbrico,1,1016.59,1016.59,2148.25
1,2025-05-11,1001,50,Cliente 50,5511949481,"Calle 74 #366, Ciudad Guadalajara",11,PROD-011,Tablet Samsung,1,1391.98,1391.98,3540.23
2,2025-01-23,1002,49,Cliente 49,5515424184,"Calle 194 #683, Ciudad Monterrey",3,PROD-003,USB 64GB,2,484.52,969.04,969.04
2,2025-01-23,1002,49,Cliente 49,5515424184,"Calle 194 #683, Ciudad Monterrey",9,PROD-009,Auriculares Bluetooth,4,352.02,1408.08,2377.12
2,2025-01-23,1002,49,Cliente 49,5515424184,"Calle 194 #683, Ciudad Monterrey",15,PROD-015,"Laptop HP 15""",1,277.79,277.79,2654.91
2,2025-01-23,1002,49,Cliente 49,5515424184,"Calle 194 #683, Ciudad Monterrey",20,PROD-020,Cámara Web HD,1,1316.65,1316.65,3971.56
2,2025-01-23,1002,49,Cliente 49,5515424184,"Calle 194 #683, Ciudad Monterrey",1,PROD-001,Mouse inalámbrico,5,1325.32,6626.6,10598.16
2,2025-01-23,1002,49,Cliente 49,5515424184,"Calle 194 #683, Ciudad Monterrey",17,PROD-017,USB 64GB,4,377.22,1508.88,12107.04
3,2025-06-15,1003,37,Cliente 37,5520893666,"Calle 87 #872, Ciudad Puebla",2,PROD-002,Disco Duro 1TB,1,116.11,116.11,116.11
3,2025-06-15,1003,37,Cliente 37,5520893666,"Calle 87 #872, Ciudad Puebla",14,PROD-014,"Laptop HP 15""",3,189.08,567.24,683.35
3,2025-06-15,1003,37,Cliente 37,5520893666,"Calle 87 #872, Ciudad Puebla",19,PROD-019,Teclado mecánico,5,126.92,634.6,1317.95
3,2025-06-15,1003,37,Cliente 37,5520893666,"Calle 87 #872, Ciudad Puebla",15,PROD-015,"Laptop HP 15""",3,277.79,833.37,2151.32
3,2025-06-15,1003,37,Cliente 37,5520893666,"Calle 87 #872, Ciudad Puebla",9,PROD-009,Auriculares Bluetooth,2,352.02,704.04,2855.36
3,2025-06-15,1003,37,Cliente 37,5520893666,"Calle 87 #872, Ciudad Puebla",5,PROD-005,Tablet Samsung,5,1366.69,6833.45,9688.81
4,2025-01-28,1004,6,Cliente 6,5595154850,"Calle 169 #818, Ciudad Puebla",8,PROD-008,Auriculares Bluetooth,5,669.08,3345.4,3345.4
4,2025-01-28,1004,6,Cliente 6,5595154850,"Calle 169 #818, Ciudad Puebla",13,PROD-013,"Monitor 24""",5,943.39,4716.95,8062.35
4,2025-01-28,1004,6,Cliente 6,5595154850,"Calle 169 #818, Ciudad Puebla",5,PROD-005,Tablet Samsung,4,1366.69,5466.76,13529.11
4,2025-01-28,1004,6,Cliente 6,5595154850,"Calle 169 #818, Ciudad Puebla",17,PROD-017,USB 64GB,2,377.22,754.44,14283.55
5,2025-07-25,1005,45,Cliente 45,5580445618,"Calle 47 #943, Ciudad Puebla",1,PROD-001,Mouse inalámbrico,2,1325.32,2650.64,2650.64
5,2025-07-25,1005,45,Cliente 45,5580445618,"Calle 47 #943, Ciudad Puebla",10,PROD-010,Mouse inalámbrico,2,1025.44,2050.88,4701.52
5,2025-07-25,1005,45,Cliente 45,5580445618,"Calle 47 #943, Ciudad Puebla",14,PROD-014,"Laptop HP 15""",5,189.08,945.4,5646.92
6,2025-08-30,1006,36,Cliente 36,5560828326,"Calle 194 #383, Ciudad CDMX",5,PROD-005,Tablet Samsung,3,1366.69,4100.07,4100.07
6,2025-08-30,1006,36,Cliente 36,5560828326,"Calle 194 #383, Ciudad CDMX",14,PROD-014,"Laptop HP 15""",1,189.08,189.08,4289.15
6,2025-08-30,1006,36,Cliente 36,5560828326,"Calle 194 #383, Ciudad CDMX",12,PROD-012,Impresora Epson,3,1025.26,3075.78,7364.93
7,2025-09-22,1007,16,Cliente 16,5592630885,"Calle 195 #916, Ciudad Querétaro",1,PROD-001,Mouse inalámbrico,5,1325.32,6626.6,6626.6
7,2025-09-22,1007,16,Cliente 16,5592630885,"Calle 195 #916, Ciudad Querétaro",13,PROD-013,"Monitor 24""",2,943.39,1886.78,8513.38
7,2025-09-22,1007,16,Cliente 16,5592630885,"Calle 195 #916, Ciudad Querétaro",15,PROD-015,"Laptop HP 15""",3,277.79,833.37,9346.75
7,2025-09-22,1007,16,Cliente 16,5592630885,"Calle 195 #916, Ciudad Querétaro",10,PROD-010,Mouse inalámbrico,2,1025.44,2050.88,11397.63
7,2025-09-22,1007,16,Cliente 16,5592630885,"Calle 195 #916, Ciudad Querétaro",3,PROD-003,USB 64GB,3,484.52,1453.56,12851.19
7,2025-09-22,1007,16,Cliente 16,5592630885,"Calle 195 #916, Ciudad Querétaro",3,PROD-003,USB 64GB,4,484.52,1938.08,14789.27
8,2025-10-08,1008,13,Cliente 13,5551926849,"Calle 49 #181, Ciudad Monterrey",7,PROD-007,Teclado mecánico,1,559.57,559.57,559.57
8,2025-10-08,1008,13,Cliente 13,5551926849,"Calle 49 #181, Ciudad Monterrey",10,PROD-010,Mouse inalámbrico,4,1025.44,4101.76,4661.33
8,2025-10-08,1008,13,Cliente 13,5551926849,"Calle 49 #181, Ciudad Monterrey",5,PROD-005,Tablet Samsung,4,1366.69,5466.76,10128.09
8,2025-10-08,1008,13,Cliente 13,5551926849,"Calle 49 #181, Ciudad Monterrey",9,PROD-009,Auriculares Bluetooth,4,352.02,1408.08,11536.17
8,2025-10-08,1008,13,Cliente 13,5551926849,"Calle 49 #181, Ciudad Monterrey",13,PROD-013,"Monitor 24""",3,943.39,2830.17,14366.34
8,2025-10-08,1008,13,Cliente 13,5551926849,"Calle 49 #181, Ciudad Monterrey",12,PROD-012,Impresora Epson,2,1025.26,2050.52,16416.86
